"DATE","NASDAQCOM","CommodityIndex","VIX","returns","Cum_Res_1d","Cum_Res_2d","Cum_Res_3d","Cum_Res_4d","Cum_Res_5d","Cum_Res_6d","Cum_Res_7d","Cum_Res_8d","sentiment_score","sentiment_score_ws","art","CommodityIndex_Lag_1","CommodityIndex_Lag_2","CommodityIndex_Lag_3","CommodityIndex_Lag_4","CommodityIndex_Lag_5","VIX_Lag_1","VIX_Lag_2","VIX_Lag_3","VIX_Lag_4","VIX_Lag_5","sentiment_score_Lag_1","sentiment_score_Lag_2","sentiment_score_Lag_3","sentiment_score_Lag_4","sentiment_score_Lag_5","sentiment_score_ws_Lag_1","sentiment_score_ws_Lag_2","sentiment_score_ws_Lag_3","sentiment_score_ws_Lag_4","sentiment_score_ws_Lag_5","art_Lag_1","art_Lag_2","art_Lag_3","art_Lag_4","art_Lag_5"
2000-01-03,4131.15,194.2237,24.36,NA,0,-0.0555438558270698,-0.0613896856807426,-0.0999396473640131,-0.0598394807635397,-0.0150194718022209,-0.0481105288719315,-0.0656848003557809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-04,3901.69,192.3673,24.94,-0.0555438558270698,-0.0555438558270698,-0.0613896856807426,-0.0999396473640131,-0.0598394807635397,-0.0150194718022209,-0.0481105288719315,-0.0656848003557809,-0.038348711056359,NA,NA,NA,194.2237,NA,NA,NA,NA,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-05,3877.54,190.5185,27.98,-0.00584582985367273,-0.00584582985367273,-0.0443957915369433,-0.00429562493646983,0.040524384024849,0.00743332695513831,-0.010140944528711,0.0171951447707109,0.0450027925231901,NA,NA,NA,192.3673,194.2237,NA,NA,NA,24.94,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-06,3727.13,190.4214,26.68,-0.0385499616832705,-0.0385499616832705,0.0015502049172029,0.0463702138785217,0.013279156808811,-0.00429511467503828,0.0230409746243836,0.0508486223768628,0.0676634995251568,NA,NA,NA,190.5185,192.3673,194.2237,NA,NA,27.98,24.94,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-07,3882.62,188.5528,25.14,0.0401001666004734,0.0401001666004734,0.0849201755617923,0.0518291184920816,0.0342548470082323,0.0615909363076541,0.0893985840601333,0.106213461208427,0.111252496508739,NA,NA,NA,190.4214,190.5185,192.3673,194.2237,NA,26.68,27.98,24.94,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,0.700000000000001,1,188.5528,190.4214,190.5185,192.3673,194.2237,25.14,26.68,27.98,24.94,24.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000-01-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.5528,190.4214,190.5185,192.3673,NA,25.14,26.68,27.98,24.94,2.25,NA,NA,NA,NA,0.700000000000001,NA,NA,NA,NA,1,NA,NA,NA,NA
2000-01-10,4049.67,189.8289,21.89,0.0448200089613188,0.0448200089613188,0.0117289518916081,-0.00584531959224118,0.0214907697071807,0.0492984174596599,0.0661132946079539,0.071152329908266,0.0804047525566086,NA,NA,NA,NA,NA,188.5528,190.4214,190.5185,NA,NA,25.14,26.68,27.98,NA,2.25,NA,NA,NA,NA,0.700000000000001,NA,NA,NA,NA,1,NA,NA,NA
2000-01-11,3921.19,193.4622,21.98,-0.0330910570697107,-0.0330910570697107,-0.05066532855356,-0.0233292392541381,0.00447840849834108,0.0212932856466351,0.0263323209469472,0.0355847435952898,0.0466391387351137,NA,NA,NA,189.8289,NA,NA,188.5528,190.4214,21.89,NA,NA,25.14,26.68,NA,NA,2.25,NA,NA,NA,NA,0.700000000000001,NA,NA,NA,NA,1,NA,NA
2000-01-12,3850.02,195.7564,23.05,-0.0175742714838493,-0.0175742714838493,0.00976181781557255,0.0375694655680517,0.0543843427163457,0.0594233780166579,0.0686758006650005,0.0797301958048244,0.0464757101967223,NA,NA,NA,193.4622,189.8289,NA,NA,188.5528,21.98,21.89,NA,NA,25.14,NA,NA,NA,2.25,NA,NA,NA,NA,0.700000000000001,NA,NA,NA,NA,1,NA
